title,company,description,requirements,location,salary,fraudulent
No Skill Job,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1579134,1
Part Time Data Entry,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1972757,1
UI/UX Designer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,948592,0
UI/UX Designer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,1028681,0
Frontend Developer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,661290,0
System Administrator,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,319465,0
Part Time Data Entry,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1993863,1
Work From Home Typing,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1170638,1
DevOps Engineer,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,513698,0
Part Time Data Entry,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1072450,1
UI/UX Designer,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,777271,0
Data Scientist,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,1115765,0
Part Time Data Entry,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,779723,1
System Administrator,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,1020763,0
Online Form Filling,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1133172,1
No Skill Job,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1672716,1
Easy Money Job,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1904475,1
Work From Home Typing,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1328898,1
Earn ₹5000 Daily,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1413912,1
Software Engineer,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,1100420,0
DevOps Engineer,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,1159987,0
Software Engineer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,536160,0
Software Engineer,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,420823,0
Easy Money Job,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,984470,1
Easy Money Job,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1354816,1
Frontend Developer,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,1009007,0
UI/UX Designer,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,854952,0
Cybersecurity Analyst,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,585655,0
Data Scientist,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,474672,0
Software Engineer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,332197,0
Easy Money Job,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,892022,1
Easy Money Job,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1958558,1
UI/UX Designer,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,864324,0
No Skill Job,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,679487,1
Data Scientist,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,1020812,0
Part Time Data Entry,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,819912,1
Easy Money Job,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,789916,1
DevOps Engineer,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,386942,0
No Skill Job,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,955959,1
Frontend Developer,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,712013,0
Backend Developer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,1083267,0
Online Form Filling,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1241898,1
Online Form Filling,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,728485,1
Work From Home Typing,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1270539,1
Part Time Data Entry,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1047496,1
No Skill Job,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1749156,1
Work From Home Typing,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1430499,1
Easy Money Job,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,905599,1
Easy Money Job,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1129122,1
Online Form Filling,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1430930,1
System Administrator,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,788870,0
Software Engineer,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,602954,0
Work From Home Typing,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1685683,1
Online Form Filling,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,691767,1
Part Time Data Entry,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1809144,1
No Skill Job,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1132603,1
Data Scientist,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,528514,0
System Administrator,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,1190776,0
Part Time Data Entry,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,606517,1
Easy Money Job,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1748665,1
UI/UX Designer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,728248,0
Online Form Filling,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1512922,1
Part Time Data Entry,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,909765,1
UI/UX Designer,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,886397,0
No Skill Job,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,992651,1
No Skill Job,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1897744,1
Part Time Data Entry,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1174107,1
No Skill Job,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1245035,1
Backend Developer,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,1130315,0
No Skill Job,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1016602,1
System Administrator,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,564832,0
Online Form Filling,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1546608,1
Backend Developer,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,1114500,0
No Skill Job,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1491371,1
Backend Developer,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,371141,0
System Administrator,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,855777,0
Part Time Data Entry,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1171430,1
Frontend Developer,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,591753,0
Online Form Filling,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,946866,1
Frontend Developer,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,887271,0
Work From Home Typing,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1562751,1
Backend Developer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,566075,0
Work From Home Typing,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1812597,1
Easy Money Job,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1309823,1
Software Engineer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,821667,0
UI/UX Designer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,1146395,0
Work From Home Typing,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1319843,1
Backend Developer,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,682466,0
Part Time Data Entry,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,887835,1
Backend Developer,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,1105622,0
Frontend Developer,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,611012,0
Backend Developer,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,1097831,0
Cybersecurity Analyst,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,858398,0
Data Scientist,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,858453,0
UI/UX Designer,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,315253,0
Backend Developer,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,343063,0
Data Scientist,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,584825,0
UI/UX Designer,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,382334,0
Frontend Developer,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,539611,0
Backend Developer,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,897730,0
Online Form Filling,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,945528,1
System Administrator,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,655549,0
Data Scientist,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,677276,0
Data Scientist,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,855925,0
Earn ₹5000 Daily,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,952486,1
Cybersecurity Analyst,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,907405,0
System Administrator,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,1044737,0
Backend Developer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,1067451,0
Online Form Filling,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1379034,1
Part Time Data Entry,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,752749,1
Cybersecurity Analyst,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,302662,0
Part Time Data Entry,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1431127,1
UI/UX Designer,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,906269,0
Frontend Developer,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,739553,0
Earn ₹5000 Daily,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1170016,1
Work From Home Typing,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1647268,1
No Skill Job,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,800437,1
Data Scientist,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,392022,0
Backend Developer,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,466954,0
Part Time Data Entry,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1497725,1
Part Time Data Entry,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,636434,1
Backend Developer,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,855843,0
Part Time Data Entry,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,805737,1
Earn ₹5000 Daily,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,786087,1
Cybersecurity Analyst,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,328729,0
Part Time Data Entry,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,891604,1
System Administrator,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,803922,0
No Skill Job,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1150701,1
Cybersecurity Analyst,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,1181609,0
Data Scientist,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,1054647,0
Data Scientist,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,663083,0
System Administrator,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,706413,0
Online Form Filling,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,623853,1
System Administrator,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Chennai,553048,0
Part Time Data Entry,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,696134,1
Software Engineer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,892219,0
Easy Money Job,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1543696,1
Earn ₹5000 Daily,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1499783,1
Online Form Filling,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,738658,1
DevOps Engineer,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,1183283,0
Frontend Developer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,691280,0
Part Time Data Entry,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1047791,1
DevOps Engineer,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,1037945,0
Online Form Filling,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,775879,1
No Skill Job,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1963167,1
Online Form Filling,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1126229,1
Online Form Filling,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,985927,1
Cybersecurity Analyst,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,1192848,0
Online Form Filling,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,644715,1
Easy Money Job,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1728361,1
Earn ₹5000 Daily,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1121493,1
Cybersecurity Analyst,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,320087,0
Part Time Data Entry,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1732115,1
No Skill Job,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1363329,1
Backend Developer,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,711428,0
Online Form Filling,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1498589,1
Earn ₹5000 Daily,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,972445,1
Software Engineer,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,1103857,0
UI/UX Designer,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,510525,0
Easy Money Job,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1849157,1
Easy Money Job,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1253287,1
Work From Home Typing,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,740702,1
Online Form Filling,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1614439,1
No Skill Job,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,653602,1
Software Engineer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,1010564,0
System Administrator,Accenture,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,350046,0
Part Time Data Entry,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1501271,1
Earn ₹5000 Daily,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1572714,1
Part Time Data Entry,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1823683,1
Data Scientist,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,503299,0
No Skill Job,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1173312,1
Work From Home Typing,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,978214,1
Work From Home Typing,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1632979,1
Part Time Data Entry,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1775681,1
Easy Money Job,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1082843,1
Part Time Data Entry,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,677266,1
Cybersecurity Analyst,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,1090481,0
UI/UX Designer,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,429827,0
No Skill Job,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,791617,1
Part Time Data Entry,FakeCorp,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,662152,1
Cybersecurity Analyst,Tech Mahindra,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,899200,0
Frontend Developer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Delhi,943336,0
Work From Home Typing,NoCompany,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1692494,1
Data Scientist,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,1156668,0
Backend Developer,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,361843,0
Software Engineer,TCS,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Bangalore,416583,0
No Skill Job,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1241764,1
Data Scientist,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Hyderabad,786623,0
Data Scientist,Infosys,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,461005,0
Part Time Data Entry,Scam Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1594246,1
Frontend Developer,HCL,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,322531,0
System Administrator,Capgemini,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Mumbai,892560,0
Online Form Filling,Unknown Pvt Ltd,Earn high income with minimal effort. Limited seats available.,No experience needed,Remote,1114813,1
Data Scientist,Wipro,Looking for a skilled professional to join our growing team.,Relevant degree and skills required,Pune,1155852,0
